,Borough,Neighborhood,latitude,longitude
87,NEW DELHI,MAULANA AZAD ROAD,28.6100178,77.2217085
88,NEW DELHI,MOTHER TERESSA CRESCENT,28.6221802,77.28685157661627
89,NEW DELHI,NAUROJI NAGAR,28.5685678,77.1934447
90,NEW DELHI,NORTH AVENUE,28.6235903,77.1999895
91,NEW DELHI,PALIKA KUNJ,28.63075335,77.2189261155733
92,NEW DELHI,PALIKA NIWAS,28.63075335,77.2189261155733
93,NEW DELHI,PANCHKUIAN ROAD,28.6396854,77.2079912
94,NEW DELHI,PANDARA PARK,28.6067737,77.2294161
95,NEW DELHI,PANDARA ROAD,28.6059693,77.2306902
96,NEW DELHI,PESHWA ROAD,28.6350729,77.2033984
97,NEW DELHI,PILLANGI VILLAGE,28.6517178,77.2219388
98,NEW DELHI,PRESIDENT ESTATE,28.6208562,77.2004083
99,NEW DELHI,PRITHVI RAJ ROAD,28.5887403,77.2235118
100,NEW DELHI,PURANA QUILLA ROAD,28.6092855,77.2435969
101,NEW DELHI,RACE COURSE,28.5973513,77.2110967
102,NEW DELHI,RACE COURSE ROAD,28.5973513,77.2110967
103,NEW DELHI,RAJA BAZAR,27.1940261,77.9970749
104,NEW DELHI,RAMA KRISHNA ASHRAM MARG,28.664738999999997,77.19591694213649
105,NEW DELHI,RAVINDRA NAGAR,28.6517178,77.2219388
106,NEW DELHI,SAFDARJUNG AIRPORT,28.5851893,77.20624264329132
107,NEW DELHI,SAROJINI NAGAR,28.5741575,77.1953703
108,NEW DELHI,SHAHEED BHAGAT SINGH MARG,28.6133594,77.1092351
109,NEW DELHI,SIKANDRA ROAD,28.6255564,77.2341897
110,NEW DELHI,SOUTH AVENUE,28.6083024,77.1990763
111,NEW DELHI,SOUTH END LANE,28.4078327,77.0467223
112,NEW DELHI,SUJAN SINGH PARK,28.5992612,77.2285545
113,NEW DELHI,SUNEHRI BAGH,28.6077227,77.2119713
114,NEW DELHI,TAL KATORA ROAD,28.6517178,77.2219388
115,NEW DELHI,TEEN MURTI MARG,28.6028685,77.2021644
116,NEW DELHI,TEES JANUARY MARG,28.6023922,77.214565
117,NEW DELHI,TILAK MARG,28.6201115,77.2366242
